include,system,tin,entity_type,entity,npis_cigna,npis_aetna,note,business_names_in_payer_files,in_target_list,target_names,nppes_orgs,nppes_states,nppes_sample
Y,Northwell,274416017,hospital,Phelps Hospital,0,1,,PHELPS MEMORIAL HOSPITAL ASSOCIATION,0/16,,"PHELPS MEDICAL SERVICES, PC x1","NY9,MD1,CT1","BROWN, TESS-ANN [Nurse Practitioner, Family, MONTGOMERY NY] | CROSS, COQUILLA [Psychiatry & Neurology, Psychi, TOWSON MD] | TAMSEN, ALI [Pathology, Clinical Pathology/, SOUTHAMPTON NY]"
Y,Northwell,453023019,physician group,North Shore-LIJ Medical PC (Northwell Health Physician Partners),8428,5,,NORTH SHORE LIJ HEALTH CARE; NORTH SHORE LIJ MEDICAL PC; NORTH SHORE LIJ MEDICAL PC.; NORTH SHORE-LIJ MEDICAL PC,0/9220,,,"NY8,PA2,1","(not in NPPES) [,  ] | DEEB, LILIANE [Internal Medicine, Gastroenter, STATEN ISLAND NY] | PRINCE, JOSE [Surgery, PITTSBURGH PA]"
Y,Northwell,275078717,physician group,North Shore-LIJ Cardiovascular Medicine,203,1,,"NORTH SHORE LIJ CARDIOVASCULAR ME; NORTH SHORE-LIJ CARDIOVASCULAR MEDICINE, P.C.",0/244,,,"NY11,FL1","KOENIG, SCOTT [Orthopaedic Surgery, Foot and , WOODBURY NY] | DENAPOLI, THOMAS [Physician Assistant, Surgical, LYNBROOK NY] | LAMZINA, TATYANA [Registered Nurse, BROOKLYN NY]"
Y,Northwell,452661543,physician group,Lenox Hill Medical PC,35,3,,LENOX HILL HOSPITAL MEDICAL PC; LENOX HILL MEDICAL PC,0/47,,,NY12,"HAR-EL, GADY [Specialist, NEW YORK NY] | FINLEY, JOSEPH [Otolaryngology, NEW YORK NY] | PAYAMI, SARA [Audiologist, NEW YORK NY]"
Y,Northwell,113412370,physician group,Northwell Health Laboratories,1,1,,NORTHWELL HEALTH LABORATORIES,1/1,NORTHWELL HEALTH LABORATORIES x1,NORTHWELL HEALTH LABORATORIES x1,NY1,"NORTHWELL HEALTH LABORATORIES [Clinical Medical Laboratory, NEW HYDE PARK NY]"
?,Montefiore,010796859,,MONTEFIORE MEDICAL CENTER,61,0,"name matches, ownership unverified",MONTEFIORE MEDICAL CENTER,0/62,,,"NY11,NJ1","SLINCHENKOVA, OLENA [Student in an Organized Health, BROOKLYN NY] | RIZVI, SYED [Student in an Organized Health, BRONX NY] | MASEDA, NELLY [Pediatrics, BRONX NY]"
?,Montefiore,263443304,,"ST. LUKE'S CORNWALL JV, LLC",0,1,"name matches, ownership unverified","ST. LUKE'S CORNWALL JV, LLC",0/16,,"ST. LUKE'S CORNWALL JV, LLC x1","NY7,FL1,PA1","KLEIN, JONATHAN [, BRONX NY] | FOX, JANA [Radiology, Therapeutic Radiolo, NEW YORK NY] | GARG, MADHUR [, ARDSLEY NY]"
?,Mount Sinai,383906267,,MEDICINE DEPT OF MOUNT SINAI,50,1,"name matches, ownership unverified",MEDICINE DEPT OF MOUNT SINAI; MOUNT SINAI MAHHASSET MEDICAL; MOUNT SINAI MANHASSET MEDICAL,1/60,MOUNT SINAI SCHOOL OF MEDICINE x1,,"NY7,CA2,SC1","DAVIDSON, WHITNEY [Nurse Practitioner, Primary Ca, NEW YORK NY] | WHITMORE, SARA [Nurse Practitioner, Adult Heal, BROOKLYN NY] | VIJAYAKUMAR, NANDINI [Student in an Organized Health, BROOKLYN NY]"
?,Mount Sinai,474961193,,SOUTH NASSAU PHYSICIAN GROUP PC,45,0,"name matches, ownership unverified",SOUTH NASSAU PHYSICIAN GROUP PC,0/45,,,"NY9,PA2,MI1","TOPGI, SNEHALATA [Emergency Medicine, BROOKLYN NY] | NEMETH, ALAN [Emergency Medicine, PHILADELPHIA PA] | KUMAR, MRIDUL [Emergency Medicine, BROOKLYN NY]"
?,Mount Sinai,264069086,,MOUNT SINAI MEDICAL CTR CARDIOLOGY LLC,40,0,"name matches, ownership unverified",MOUNT SINAI MEDICAL CTR CARDIOLOGY LLC,0/40,,MOUNT SINAI MEDICAL CENTER CARDIOLOGY LLC x1,FL8,"SCORDATO, ROBERT [Physician Assistant, Medical, MIAMI FL] | FERNANDEZ, RAFLE [Internal Medicine, Cardiovascu, MIAMI BEACH FL] | ROTHMAN, DEENA [Physician Assistant, Surgical, MIAMI BEACH FL]"
